Query, Refcode,DIST1 
3,4Q24D95,1.962
3,PKRUR0M,1.998
3,0XEAOOM,2.175
3,3F1PXYX,1.995
3,VHMFHDM,1.957
3,BZBFA39,2.141
3,OY4SO2J,2.012
3,Q076FRH,1.959
3,RHMJTN0,2.051
3,694F4SG,1.995
3,7K0L5NB,2.200
3,WJ7U9OV,2.204
3,GVS1JO0,1.901
3,SSCZX4Z,1.922
3,SIP03HB,2.266
3,Q9N9HUM,1.949
3,NQY1C2D,1.965
3,LSC2APX,2.192
3,1PTL0W9,1.824
3,987Q8QP,1.876
3,1NNQNN1,1.922
3,AVLZSNP,1.833
3,YIBJGAG,1.849
3,GM9MRRN,1.873
3,GU3OFEL,1.941
3,3SQ6QLF,1.902
3,EK18IJG,1.956
3,U8O3ZV7,1.922
3,B381SER,1.860
3,EYESQ4J,1.954
3,S71MZAD,1.868
3,KIIDR3L,1.897
3,78O508N,1.901
3,1DA5MBA,1.894
3,ESVLJKU,1.860
3,RCCH0CI,1.955
3,9OCTXNP,1.895
3,9INDFK6,1.946
3,EK1OCMN,1.862
3,II0VVOC,1.842
3,OZGJ4UI,1.780
3,PKMPUE3,1.938
3,GDTP7T3,1.897
3,I9MX2XY,1.860
3,I8JCXBA,2.251
3,R1SQ4AK,1.942
3,2E90ELF,2.222
3,9LWWO14,1.954
3,6IZ0A3W,1.949
3,0TG0CCA,1.891
3,KRYXWKA,1.991
3,ATF9PIV,2.162
3,W5P0PDP,2.028
3,FY97KTT,2.162
3,33DIWSH,1.872
3,YYBUJZL,1.774
3,T4KRKH6,2.004
3,66O3BDR,2.021
3,E9M56KL,2.075
3,JPSM9Y6,2.190
3,8P3L4X9,1.870
3,06BKBHI,1.833
3,RGK3SI9,2.199
3,9AKSOT6,1.998
3,NRLXVJP,2.197
3,9PF5GLY,1.993
3,WT0WD0A,2.077
3,YZC7IXT,2.122
3,8UBE78J,2.152
3,3HGPKBZ,2.123
3,AXRPJAK,2.246
3,BY81YO7,2.177
3,THEB83K,1.924
3,L1EQ0LJ,1.864
3,LV36B3J,2.206
3,N7WD1Z2,1.971
3,PZ4DBOR,2.174
3,D4YIM4O,1.971
3,4L8BARH,1.878
3,XIBUNHD,1.854
3,5LG8NAU,1.917
3,ZGWO2HV,2.122
3,2468QJ8,1.916
3,GJFKNNO,2.192
3,HZZ4IU4,1.942
3,98Z54XF,1.815
3,1ZY17AL,2.163
3,RIYI5ZO,2.228
3,CS4HLQS,2.017
3,VWS8M2A,1.985
3,KCQY1ZZ,2.323
3,5MZPWJV,2.258
3,6LBAB88,2.133
3,B8KAMFR,2.138
3,1Z4KFT1,2.144
3,JU9RY0K,2.268
3,JNQ7QFO,2.268
3,4M5TIC6,2.127
3,17CTS1T,2.140
3,6RFYEFX,2.153
3,K0W8SNL,2.091
3,U8V1QHE,2.101
3,28MIZBT,2.081
3,TKAW2EO,2.324
3,C1CIITH,2.235
3,Z5ZXY6Y,1.883
3,EVSQJNN,2.032
3,PDILY1O,2.145
3,1Z60JDU,2.032
3,NP1XZ6D,2.033
3,NVBBO4J,1.847
3,L74QPJ7,2.122
3,X6UTHPM,2.077
3,3T85ES8,2.012
3,PL9NBTJ,2.066
3,GTOPX7H,1.980
3,0VHI656,2.068
3,TV298UO,2.144
3,AB0928Z,2.152
3,5E22RP2,2.100
3,D58HE1D,1.933
3,BBQIACO,1.855
3,3MQ69KN,1.810
3,N9LKID8,2.169
3,HL53I15,2.253
3,00TSUVN,2.062
3,ZBCSOAL,2.102
3,GGOUF8R,2.200
3,TPN75GO,2.253
3,F94645S,2.218
3,V2LZDHK,2.192
3,QAF2NGN,2.201
3,FMLK2OI,2.124
3,Q0W9MI7,2.148
3,F3YCPWK,2.122
3,JNWXC2U,2.143
3,3U352U6,2.112
3,DZ2A3CV,2.139
3,OGE4XLK,2.223
3,VVSJV0N,2.178
3,GMHG15T,2.155
3,U7XYO9L,2.269
3,57G3XWE,2.130
3,IQS71RD,2.070
3,H3RMJ1D,2.069
3,7RN88HJ,2.050
3,KFZOJAM,2.133
3,A1DM2DH,2.126
3,JJJVZCK,2.106
3,T3YQS3P,2.214
3,858SZ50,2.205
3,J4BXWLP,2.255
3,VYDNBU9,2.181
3,OKKSWPE,2.107
3,SDOPHRU,2.125
3,4L9ZTMW,2.137
3,326B62T,1.910
3,V90D8KX,1.849
3,64P9RMQ,1.911
3,KC7XLJ2,2.361
3,REPEK7M,2.198
3,MSHAFYN,2.139
3,W6MCYZI,2.082
3,DY86H9G,2.229
3,VV3HU8U,2.191
3,VYM2IVU,2.129
3,CDKERD5,2.216
3,BYYG7HY,2.145
3,5ZN7NXE,2.246
3,V08PLEK,2.138
3,TJB8S87,2.100
3,8MSU12I,2.448
3,V1Q7MOH,1.890
3,PRXZDY1,1.821
3,PB5VQTJ,1.953
3,HSKK5F4,1.934
3,8GYO5FW,1.880
3,C8OQE0W,1.865
3,MUCUNIS,1.910
3,2YM5A6G,1.870
3,CU0GLYP,2.276
3,80PKDSZ,2.298
3,7FT6BDG,2.210
3,9D1ZL3I,2.363
3,66ZSW7I,2.285
3,HXNB93L,2.224
3,O961V6W,2.176
3,WU8IJBC,2.127
3,6F9FC3B,2.152
3,AGRYPJA,2.188
3,5D17KT7,2.197
3,HX6AYMP,2.166
3,1FMP3HA,2.173
3,ZC95VFX,2.180
3,XJVLVQT,2.143
3,JP58Q1U,2.130
3,7PLC0RV,2.155
3,8AZKGN3,2.185
3,7UX5RM4,2.211
3,RRSOH2L,2.172
3,DDJ94EG,2.165
3,PANOA30,2.200
3,Y3Y3903,2.141
3,3CYD325,2.172
3,SCMGA78,2.158
3,LCWH68C,2.175
3,7WELUYS,2.260
3,C8NWPG8,2.150
3,90OHBXH,2.143
3,FO7WTVJ,2.171
3,36FFCW9,2.217
3,KDHN5F1,2.128
3,RQK6ZYU,2.187
3,5R5TYT3,2.240
3,NHW4E18,2.253
3,30VU4EG,2.125
3,D4SJHZX,2.105
3,EZYQMBF,1.982
3,YH456TE,1.910
3,77VMA17,1.959
3,O7FHTM6,2.075
3,B1KA4P9,1.908
3,K47BED2,2.359
3,4E0C6PA,1.944
3,93UB4D3,1.923
3,Q4TMSK3,2.177
3,5GZ7INA,1.913
3,J81FFHJ,1.894
3,2SZTXO4,1.914
3,P72TYX8,2.173
3,U7RZNXO,2.388
3,AERYH9V,1.992
3,ZAG23Z7,1.910
3,1OMKGCO,1.934
3,ID0Y2DV,2.114
3,PT9YHTS,1.919
3,MKR1H9W,2.420
3,D1U73P5,1.892
3,VR5GWWM,1.892
3,LY66KST,2.232
3,DB6N2Z4,1.901
3,ZPC5RMH,1.948
3,QU3ET8E,1.841
3,OGZYVED,2.229
3,ZHIG189,2.412
3,7J65CVT,1.946
3,6VJ4SAQ,1.841
3,2FVGZP7,1.960
3,LSVME4O,2.119
3,GCVV9O7,1.949
3,XJOXH7C,2.427
3,JX1L3Q4,1.970
3,DJRTQ83,1.815
3,EBRC1XY,2.250
3,VTYOCIJ,1.856
3,59QS2TB,1.891
3,P9H3XS9,1.842
3,U6TIM36,2.205
3,TBGX7Y9,2.424
3,U9NFI8N,1.952
3,PLBKNVH,2.449
3,LF3K008,1.842
3,9U6M1F5,1.925
3,Y44UBN3,2.001
3,65YIZRN,1.890
3,B3SJZPW,2.375
3,QI20NZX,1.981
3,KRTP60V,1.836
3,U7JDLNF,2.148
3,4V7GI6O,1.834
3,IUVOEI4,1.855
3,HT1L612,1.872
3,Q92O4IA,2.073
3,YFWFLZF,2.427
3,7AMG41I,1.992
3,Y4185CX,1.882
3,38PW8F7,1.911
3,08HF38Z,2.185
3,2P5986C,1.948
3,HV6AHMR,2.488
3,5V1UHYM,1.883
3,0H35F4L,1.878
3,N6QXN8J,2.263
3,X1UTS9O,1.851
3,OVBK0FA,1.970
3,8YOJX3B,1.896
3,MDEXGL2,2.213
3,T4X87RX,2.312
3,Y6LZF5Y,1.955
3,JQL7FL5,2.485
3,DGNE7Y9,1.891
3,3SSBC2J,1.888
3,9WFL88H,2.079
3,2QH6JML,1.833
3,XN2SJ4K,2.497
3,WNT2G7H,1.911
3,M2411KL,1.892
3,RVGUZ7N,2.243
3,UT4ZISK,1.904
3,VL429MH,1.905
3,THPQZ62,1.932
3,WHU6EJF,2.262
3,6BEG05K,2.257
3,VVFCUNB,2.263
3,YEXN11V,1.920
3,7CMP50J,1.957
3,XGAPVAL,2.009
3,D653DGW,1.856
3,FN0KK8U,2.283
3,6RYCY3Z,1.945
3,XF8LAGB,1.930
3,SQ53WUA,1.886
3,HYCWSL1,2.326
3,1GVFF87,1.840
3,9TZKB9R,2.254
3,GFJ775O,1.876
3,WVSHF1L,1.929
3,AHRXXKY,2.170
3,93WLKYA,2.262
3,BX2D4E5,1.876
3,XQPBLUH,1.886
3,YP0BNCW,2.281
3,1H5LSQA,1.980
3,55BGZAQ,1.861
3,HKC6KQQ,2.157
3,3AYABGN,2.310
3,795IAJ2,1.913
3,X6HHVQ5,1.978
3,2G7LI8S,2.190
3,QNB94IW,1.839
3,WNRXI73,2.063
3,TNFOLRU,2.394
3,1NNGMMP,1.952
3,0VEF9X0,2.185
3,HPF0J1K,2.025
3,OU746A4,1.917
3,UN8D69N,1.930
3,9IGJGDQ,1.919
3,IV01387,2.256
3,6EDL479,1.907
3,SIAJZUF,1.880
3,18192N5,2.409
3,1JYFWCG,2.092
3,XBPMSXC,2.061
3,Q4XZCMC,2.051
3,VSWCETU,2.127
3,2S5JGCO,2.197
3,8X9ZLQA,2.116
3,YPL81BA,2.198
3,FVIUKVO,2.063
3,9S8FLPT,2.165
3,0H3KKR6,2.167
3,KEZZE3T,2.134
3,MEJWS56,2.145
3,17XE6VY,2.213
3,394QB5Z,2.188
3,WZ9PBJM,2.187
3,D47OBBC,2.151
3,PCXB3TF,2.182
3,YLJOFFX,1.974
3,VGRTB0V,2.028
3,WVUIWS0,1.920
3,IRA993I,2.100
3,XNB1REN,2.090
3,ZD887S1,2.124
3,CBRPFFB,2.149
3,W758RPJ,2.206
3,1T05WH4,2.189
3,GQ4SMSX,2.173
3,Y11E7ZN,2.159
3,JT9UPF1,2.279
3,AYO3ALB,2.268
3,VVCV6Q8,2.234
3,6JDI8WG,2.267
3,J15LGGA,1.956
3,O7N8O88,1.873
3,3JWO2S3,1.895
3,X4NB5J8,1.887
3,1H4Y21V,1.929
3,8Q8VWUW,1.856
3,SNI3RBN,2.223
3,505NVVU,2.270
3,RY6WCUW,2.209
3,MYRBRJJ,2.219
3,R26O1H6,1.970
3,15T05QY,1.883
3,YOQKGX9,1.973
3,KDH4GSL,1.894
3,GOPZ3Y3,1.999
3,A9HCRUG,1.915
3,IPQ0X9F,2.204
3,4UO32EK,2.115
3,IJZYG7L,2.145
3,VWXDGY8,2.201
3,6TEATPW,2.108
3,FVXPWOT,2.140
3,H2NGMCL,2.174
3,NVZ29WT,2.187
3,KIYOAG9,2.248
3,BPXLD4T,2.121
3,H3FTSIL,2.134
3,SVGD17H,2.165
3,3PB5LWY,2.222
3,JNDHRO7,2.169
3,E7Q0N90,2.212
3,JCPI3KU,2.180
3,Q9908GO,2.214
3,KRYX810,2.135
3,A2MDORV,2.145
3,BRY3B1G,2.162
3,LZRB4PL,2.257
3,2HCJF0K,2.228
3,ZKQWHL2,2.074
3,FCHLQYU,2.126
3,BZKX4DZ,2.174
3,3EYZK4I,2.256
3,PB4HQHT,2.168
3,AX3JM1V,2.286
3,NUNS2NX,2.122
3,G35K01D,2.117
3,Q6GCWL2,2.145
3,2K2O9U8,2.115
3,6DHVVDB,2.177
3,IZM1R97,2.188
3,V2NFP5R,2.451
3,USPP5ES,2.276
3,YICMWE2,2.138
3,BOSS3CB,2.104
3,SUPLDXS,2.270
3,3JGGWQ6,2.086
3,WVJCW83,2.090
3,L03D3B4,2.156
3,4B7Y9SP,2.158
3,SHO32FI,2.152
3,GYQOV63,2.204
3,OLGKLUK,2.208
3,WMLCDFT,2.163
3,XNRWD92,2.101
3,VTUELHF,2.108
3,SAZDI1L,1.767
3,VJ1IGH0,1.988
3,7LCDYWV,1.811
3,AR08WC9,1.951
3,DMRZ7GE,1.838
3,158GNJU,1.846
3,5FWUFWZ,1.787
3,5B2VMTC,2.234
3,7PFXUFL,1.978
3,HWNT7O1,2.040
3,V76MIUD,2.019
3,KYW8J9H,2.016
3,OK1L0R3,1.992
3,GARPLQB,2.024
3,CB853D1,2.004
3,1ALXBE6,1.921
3,2HOOAMA,1.986
3,NUQ1N29,1.994
3,DPZ9762,2.068
3,39TGCQM,2.051
3,XZ96I0G,1.957
3,BH2DKV5,1.953
3,IDCEHEP,1.980
3,UCUNDBL,2.004
3,3K8QCXA,2.050
3,PI8Y428,2.085
3,IWR5GUQ,1.974
3,UW9I1IP,1.984
3,NYRET28,2.037
3,0YN5TZL,2.037
3,AI2ZRTE,2.076
3,7UOC3SH,1.987
3,TCGYHAT,1.961
3,9D9BAVG,2.014
3,A5CH5RX,1.977
3,U4MPO47,2.014
3,CGGYVNV,2.067
3,EO1YA3Z,2.074
3,60L10RK,2.218
3,JWB837K,1.919
3,037O8W8,1.948
3,PWF4PWL,1.939
3,36IOYY3,1.836
3,YX8GYEA,1.815
3,81E3UWB,1.875
3,IE7DF5B,2.293
3,L3ZNII8,1.938
3,PXGNY50,2.020
3,6L2TJIR,2.211
3,0AVV28I,1.856
3,2BYMUNA,1.826
3,KJ583PL,2.333
3,W71QH2Q,1.977
3,158DKCJ,1.990
3,NS0AIB4,2.228
3,W9PJAJB,1.875
3,IVTRC3C,1.869
3,IIF32JM,2.225
3,WWF5QGK,1.992
3,M4Y0XZ7,1.960
3,ZNLH3EQ,2.123
3,YWPV6Y2,1.863
3,EPQOYAM,1.839
3,8F08C1N,2.143
3,FH1Z11U,1.937
3,JS6FVGQ,1.949
3,382UUFO,1.890
3,459LVR5,1.836
3,CUTMCG0,2.298
3,U4RQV5R,1.929
3,3DFKY0U,1.932
3,3VQIU1U,2.149
3,9JHAFBG,1.922
3,1NSSL4H,1.895
3,S7XYJRN,2.167
3,HWVPU27,1.966
3,0FTEI13,1.951
3,4PCT0G8,1.903
3,IMN91NU,1.879
3,K7ODN1A,1.902
3,MTGTXBD,2.041
3,L1FXG3O,1.944
3,ELCKIZX,1.924
3,VCTV4FR,1.875
3,8XFC4ER,1.877
3,C0HCPTW,2.060
3,K0M4TI2,1.933
3,SLZK4MX,1.977
3,H7PK6QS,1.913
3,HO7CZLU,1.964
3,0OXVVJN,1.940
3,K7ZFRY2,1.871
3,IZZPHGU,1.782
3,E0VT3EL,2.046
3,BMAILPJ,1.918
3,ILNYVLZ,1.952
3,1M4KY19,1.907
3,X8VGJ6O,1.864
3,ZINT5R0,1.761
3,ZUQ4PIJ,2.068
3,GN4AWP7,1.959
3,71SM730,1.931
3,QXJ16IP,1.876
3,JHFTAFO,1.834
3,NF6DVU8,1.785
3,1PRNHJX,2.486
3,JMVOLAQ,2.030
3,2KFL96U,2.086
3,EBM8CDO,2.040
3,HXZYHLY,1.999
3,HIDFO1K,2.406
3,0HXOYY0,2.022
3,VSRTOI1,1.987
3,8MZR323,1.954
3,2X8P1B7,1.909
3,KUG6HDZ,2.514
3,8FZBZV7,2.095
3,S5896XU,2.121
3,OXOQ3Z8,1.969
3,QAH94TH,1.995
3,Z8J1WDM,1.882
3,9PL5P35,1.885
3,NWF0VGK,2.268
3,7FAMG84,2.336
3,W7VXBHX,1.862
3,1ZO459G,1.816
3,PWFI53S,2.319
3,KZUAQQR,2.282
3,Y20WIAJ,1.883
3,3IS59IH,1.816
3,Y1WSQXY,2.302
3,T18EYBM,2.320
3,GI9HNOZ,1.877
3,5TOF8AN,1.789
3,R0XPPDX,2.282
3,N5C4OAY,2.311
3,QDBEIQA,1.867
3,6G47VQ7,1.854
3,B584NIQ,2.232
3,L95O1GR,2.355
3,MW6JZ8D,1.895
3,R6VT5E3,1.808
3,V0Y8V4F,2.313
3,EHA39YB,2.354
3,3WWT3OC,2.101
3,Y967HBH,2.124
3,KQD30UJ,2.227
3,1PC14P9,1.995
3,ZPX5KQU,2.200
3,UIU2VQ9,2.238
3,POLVTRS,2.176
3,ROVP0WS,2.103
3,W1C6XSH,1.826
3,5X5UKFG,2.242
3,J310OYT,1.998
3,TMJHOY6,2.178
3,VBOFTSX,2.050
3,60PO9LO,1.932
3,GHQDP1G,2.066
3,Y6YZD5H,1.957
3,YMTRBFU,1.966
3,0R3NXX8,2.043
3,GZQ3F18,2.059
3,9V94I7N,2.312
3,WC74JXA,1.820
3,GWKA1KZ,2.004
3,MK9GO3K,2.107
3,LNLUZHE,2.268
3,HFJWY33,2.161
3,HP9WK2D,1.991
3,O2EOZ2H,2.155
3,F6TFESR,2.150
3,HFMBPN7,2.072
3,UZGT4W9,2.037
3,F9M9SWJ,2.029
3,IRHC8KV,2.053
3,5HI98CA,1.976
3,TJVKCA9,2.046
3,00VBP2Q,2.075
3,GLCLL7T,1.973
3,X8Y9SRK,2.024
3,GDJ4FA4,2.041
3,NPGLXGG,2.056
3,CBCOEP3,2.002
3,4PCJ908,1.974
3,PWTRTCY,1.994
3,D0TRL5M,2.051
3,SVAYY3S,1.981
3,BM0C8J6,1.832
3,K6SF9U4,1.896
3,PXI1A7N,1.896
3,PSDWM8R,2.022
3,AI1OPI6,1.925
3,GLOMM2W,1.926
3,2CZGP9K,1.975
3,DN0KLV6,1.926
3,GW9SWJW,2.367
3,JXR1ZR1,2.206
3,V3TGJ8I,2.104
3,OJV2QC0,2.205
3,RZUMEZE,2.110
3,IE68J3E,2.150
3,7W6G311,2.155
3,4DVHHV2,2.155
3,24VHP27,2.173
3,LJW1R4W,2.219
3,OOJUI8N,2.227
3,GML51NC,2.339
3,7VICQXK,1.942
3,2O51LUE,1.816
3,ESKJ177,2.259
3,R5CTHIS,1.951
3,39OPWBM,2.232
