Query, Refcode,DIST1 
3,ACIZUH,2.252
3,ACIZUH,1.947
3,ACIZUH,1.967
3,ACIZUH,2.202
3,ACOBAV,1.833
3,ACOBAV,1.874
3,ACOBAV,1.937
3,ACOBAV,1.822
3,ACOBAV,1.846
3,ACOBAV,1.888
3,ACOBAV,1.953
3,ACOBAV,1.897
3,ACOBAV,1.959
3,ACOBAV,1.918
3,ACOBAV,1.857
3,ACOBAV,1.942
3,ACOBAV,1.852
3,ACOBAV,1.891
3,ACOBAV,1.889
3,ACOBAV,1.886
3,ACOBAV,1.853
3,ACOBAV,1.958
3,ACOBAV,1.887
3,ACOBAV,1.947
3,ACOBAV,1.862
3,ACOBAV,1.834
3,ACOBAV,1.790
3,ACOBAV,1.943
3,ACOBAV,1.907
3,ACOBAV,1.855
3,ACOBAV,2.268
3,ACOBAV,1.940
3,ACOBAV,2.242
3,ACOBAV,1.956
3,ACOBAV,1.941
3,ACOBAV,1.903
3,ACOBAV,1.989
3,ACOBAV,2.173
3,ACOBAV,2.035
3,ACOBAV,2.175
3,ACOBAV,1.872
3,ACOBAV,1.811
3,ACOBAV,1.988
3,ACOBAV,2.007
3,ACOBAV,2.075
3,ACOBAV,2.188
3,ACOBAV,1.864
3,ACOBAV,1.823
3,ACOBAV,2.193
3,ACOBAV,2.002
3,ACOBAV,2.192
3,ACOBAV,1.997
3,ACOBAV,2.070
3,ACOBAV,2.113
3,ACOBAV,2.151
3,ACOBAV,2.127
3,ACOBAV,2.241
3,ACOBAV,2.166
3,ACOBAV,1.932
3,ACOBAV,1.867
3,ACOBAV,2.198
3,ACOBAV,1.963
3,ACOBAV,2.186
3,ACOBAV,1.985
3,ACOBAV,1.888
3,ACOBAV,1.859
3,ACOBAV,1.917
3,ACOBAV,2.115
3,ACOBAV,1.913
3,ACOBAV,2.192
3,ACOBAV,1.936
3,ACOBAV,1.811
3,ACOBAV,2.152
3,ACOBAV,2.231
3,ACOBAV,2.018
3,ACOBAV,1.981
3,ACOHUW,2.345
3,ACOHUW,2.251
3,ACOHUW,2.140
3,ACOHUW,2.140
3,ACOHUW,2.161
3,ACOHUW01,2.275
3,ACOHUW01,2.292
3,ACOHUW01,2.126
3,ACOHUW01,2.132
3,ACOHUW01,2.159
3,ACOHUW02,2.093
3,ACOHUW02,2.110
3,ACOHUW02,2.070
3,ACOHUW02,2.304
3,ACOHUW02,2.246
3,ACPYMN,1.873
3,ACPYMN,2.026
3,ACPYMN,2.147
3,ACPYMN,2.041
3,ACPYMN,2.026
3,ACPYMN,1.849
3,ACPYMN,2.129
3,ACPYMN,2.067
3,ACPYMN,2.015
3,ACPYMN,2.057
3,ACPYMN,1.988
3,ACPYMN,2.070
3,ACPYMN,2.145
3,ACPYMN,2.162
3,ACPYMN,2.096
3,ACSLMN,1.947
3,ACSLMN,1.858
3,ACSLMN,1.803
3,ACSLMN,2.172
3,ACSLMN,2.254
3,ACTPMN,2.065
3,ACTPMN,2.096
3,ACUXAY,2.210
3,ACUXAY,2.264
