"130801 - C:\Documents and Settings\User\My Documents\Homogeneous-catalysis\Allen, Lucy\lka1079.010.spc"
"Wavelength nm.","Abs."
502.00,0.00049
503.00,0.00073
504.00,0.00085
505.00,0.00085
506.00,0.00085
507.00,0.00085
508.00,0.00098
509.00,0.00098
510.00,0.00098
511.00,0.00110
512.00,0.00110
513.00,0.00122
514.00,0.00146
515.00,0.00171
516.00,0.00183
517.00,0.00208
518.00,0.00244
519.00,0.00281
520.00,0.00317
521.00,0.00354
522.00,0.00403
523.00,0.00439
524.00,0.00476
525.00,0.00500
526.00,0.00537
527.00,0.00549
528.00,0.00562
529.00,0.00586
530.00,0.00598
531.00,0.00598
532.00,0.00610
533.00,0.00623
534.00,0.00635
535.00,0.00659
536.00,0.00684
537.00,0.00696
538.00,0.00720
539.00,0.00732
540.00,0.00757
541.00,0.00769
542.00,0.00793
543.00,0.00806
544.00,0.00818
545.00,0.00818
546.00,0.00830
547.00,0.00830
548.00,0.00842
549.00,0.00867
550.00,0.00879
551.00,0.00891
552.00,0.00903
553.00,0.00916
554.00,0.00940
555.00,0.00964
556.00,0.00977
557.00,0.01013
558.00,0.01050
559.00,0.01086
560.00,0.01147
561.00,0.01221
562.00,0.01294
563.00,0.01367
564.00,0.01465
565.00,0.01575
566.00,0.01672
567.00,0.01782
568.00,0.01904
569.00,0.02039
570.00,0.02173
571.00,0.02319
572.00,0.02466
573.00,0.02612
574.00,0.02771
575.00,0.02930
576.00,0.03088
577.00,0.03247
578.00,0.03430
579.00,0.03613
580.00,0.03784
581.00,0.03967
582.00,0.04138
583.00,0.04309
584.00,0.04480
585.00,0.04639
586.00,0.04797
587.00,0.04944
588.00,0.05078
589.00,0.05212
590.00,0.05322
591.00,0.05420
592.00,0.05493
593.00,0.05566
594.00,0.05627
595.00,0.05664
596.00,0.05701
597.00,0.05737
598.00,0.05774
599.00,0.05823
600.00,0.05859
601.00,0.05908
602.00,0.05981
603.00,0.06055
604.00,0.06128
605.00,0.06226
606.00,0.06335
607.00,0.06458
608.00,0.06580
609.00,0.06726
610.00,0.06873
611.00,0.07019
612.00,0.07166
613.00,0.07324
614.00,0.07483
615.00,0.07642
616.00,0.07788
617.00,0.07935
618.00,0.08093
619.00,0.08252
620.00,0.08386
621.00,0.08521
622.00,0.08643
623.00,0.08752
624.00,0.08838
625.00,0.08899
626.00,0.08936
627.00,0.08960
628.00,0.08972
629.00,0.08960
630.00,0.08923
631.00,0.08875
632.00,0.08813
633.00,0.08752
634.00,0.08691
635.00,0.08618
636.00,0.08557
637.00,0.08496
638.00,0.08423
639.00,0.08362
640.00,0.08301
641.00,0.08252
642.00,0.08203
643.00,0.08130
644.00,0.08069
645.00,0.07996
646.00,0.07922
647.00,0.07849
648.00,0.07788
649.00,0.07715
650.00,0.07654
651.00,0.07605
652.00,0.07568
653.00,0.07532
654.00,0.07507
655.00,0.07507
656.00,0.07507
657.00,0.07507
658.00,0.07495
659.00,0.07483
660.00,0.07471
661.00,0.07458
662.00,0.07422
663.00,0.07385
664.00,0.07312
665.00,0.07202
666.00,0.07080
667.00,0.06921
668.00,0.06750
669.00,0.06555
670.00,0.06335
671.00,0.06079
672.00,0.05798
673.00,0.05518
674.00,0.05212
675.00,0.04895
676.00,0.04578
677.00,0.04272
678.00,0.03979
679.00,0.03674
680.00,0.03369
681.00,0.03088
682.00,0.02820
683.00,0.02588
684.00,0.02368
685.00,0.02148
686.00,0.01953
687.00,0.01770
688.00,0.01624
689.00,0.01477
690.00,0.01331
691.00,0.01196
692.00,0.01074
693.00,0.00964
694.00,0.00854
695.00,0.00769
696.00,0.00684
697.00,0.00598
698.00,0.00537
699.00,0.00476
700.00,0.00415
701.00,0.00354
702.00,0.00305
703.00,0.00256
704.00,0.00220
705.00,0.00195
706.00,0.00171
707.00,0.00134
708.00,0.00110
709.00,0.00085
710.00,0.00073
711.00,0.00049
712.00,0.00037
713.00,0.00012
714.00,0.00000
715.00,-0.00012
716.00,-0.00012
717.00,-0.00024
718.00,-0.00024
719.00,-0.00037
720.00,-0.00049
721.00,-0.00061
722.00,-0.00061
723.00,-0.00073
724.00,-0.00073
725.00,-0.00073
726.00,-0.00073
727.00,-0.00073
728.00,-0.00085
729.00,-0.00085
730.00,-0.00085
731.00,-0.00073
732.00,-0.00085
733.00,-0.00085
734.00,-0.00085
735.00,-0.00085
736.00,-0.00085
737.00,-0.00085
738.00,-0.00085
739.00,-0.00073
740.00,-0.00073
