"125332 - C:\Documents and Settings\User\My Documents\Homogeneous-catalysis\Allen, Lucy\lka1079.008.spc"
"Wavelength nm.","Abs."
200.00,0.32446
201.00,0.29688
202.00,0.31726
203.00,0.27332
204.00,0.27295
205.00,0.34375
206.00,0.34338
207.00,0.29480
208.00,0.33643
209.00,0.40479
210.00,0.27454
211.00,0.25342
212.00,0.34058
213.00,0.29175
214.00,0.30994
215.00,0.30920
216.00,0.26892
217.00,0.33691
218.00,0.27380
219.00,0.20435
220.00,0.19458
221.00,0.29053
222.00,0.51184
223.00,0.75317
224.00,0.94153
225.00,1.01428
226.00,1.04395
227.00,1.04810
228.00,1.03577
229.00,1.01318
230.00,0.98511
231.00,0.95337
232.00,0.91821
233.00,0.88000
234.00,0.84045
235.00,0.79907
236.00,0.75732
237.00,0.71667
238.00,0.67859
239.00,0.64343
240.00,0.61169
241.00,0.58325
242.00,0.55750
243.00,0.53369
244.00,0.51147
245.00,0.48950
246.00,0.46765
247.00,0.44617
248.00,0.42383
249.00,0.40149
250.00,0.37939
251.00,0.35706
252.00,0.33508
253.00,0.31445
254.00,0.29590
255.00,0.27930
256.00,0.26392
257.00,0.25012
258.00,0.23792
259.00,0.22705
260.00,0.21704
261.00,0.20825
262.00,0.20056
263.00,0.19360
264.00,0.18713
265.00,0.18115
266.00,0.17566
267.00,0.17017
268.00,0.16467
269.00,0.15881
270.00,0.15259
271.00,0.14624
272.00,0.13965
273.00,0.13306
274.00,0.12646
275.00,0.11963
276.00,0.11292
277.00,0.10657
278.00,0.10046
279.00,0.09448
280.00,0.08862
281.00,0.08337
282.00,0.07837
283.00,0.07361
284.00,0.06934
285.00,0.06531
286.00,0.06140
287.00,0.05762
288.00,0.05396
289.00,0.05066
290.00,0.04773
291.00,0.04456
292.00,0.04150
293.00,0.03882
294.00,0.03625
295.00,0.03357
296.00,0.03101
297.00,0.02844
298.00,0.03271
299.00,0.05347
300.00,0.07056
301.00,0.07104
302.00,0.06860
303.00,0.06628
304.00,0.06396
305.00,0.06177
306.00,0.05933
307.00,0.05688
308.00,0.05457
309.00,0.05237
310.00,0.05005
311.00,0.04797
312.00,0.04590
313.00,0.04395
314.00,0.04211
315.00,0.04028
316.00,0.03857
317.00,0.03711
318.00,0.03577
319.00,0.03442
320.00,0.03345
321.00,0.03259
322.00,0.03174
323.00,0.03101
324.00,0.03027
325.00,0.02954
326.00,0.02893
327.00,0.02832
328.00,0.02771
329.00,0.02710
330.00,0.02649
331.00,0.02600
332.00,0.02539
333.00,0.02478
334.00,0.02429
335.00,0.02356
336.00,0.02283
337.00,0.02209
338.00,0.02148
339.00,0.02087
340.00,0.01990
341.00,0.01855
342.00,0.01733
343.00,0.01660
344.00,0.01587
345.00,0.01514
346.00,0.01428
347.00,0.01355
348.00,0.01294
349.00,0.01233
350.00,0.01160
351.00,0.01086
352.00,0.01013
353.00,0.00952
354.00,0.00903
355.00,0.00842
356.00,0.00781
357.00,0.00732
358.00,0.00684
359.00,0.00647
360.00,0.00623
361.00,0.00586
362.00,0.00549
363.00,0.00537
364.00,0.00513
365.00,0.00488
366.00,0.00488
367.00,0.00476
368.00,0.00464
369.00,0.00464
370.00,0.00439
371.00,0.00427
372.00,0.00415
373.00,0.00415
374.00,0.00403
375.00,0.00403
376.00,0.00391
377.00,0.00391
378.00,0.00378
379.00,0.00378
380.00,0.00366
381.00,0.00354
382.00,0.00354
383.00,0.00354
384.00,0.00342
385.00,0.00342
386.00,0.00342
387.00,0.00342
388.00,0.00342
389.00,0.00342
390.00,0.00342
391.00,0.00342
392.00,0.00342
393.00,0.00342
394.00,0.00342
395.00,0.00342
396.00,0.00330
397.00,0.00330
398.00,0.00342
399.00,0.00342
400.00,0.00342
401.00,0.00342
402.00,0.00342
403.00,0.00342
404.00,0.00342
405.00,0.00342
406.00,0.00342
407.00,0.00342
408.00,0.00342
409.00,0.00342
410.00,0.00342
411.00,0.00342
412.00,0.00342
413.00,0.00342
414.00,0.00354
415.00,0.00366
416.00,0.00366
417.00,0.00354
418.00,0.00354
419.00,0.00354
420.00,0.00354
421.00,0.00366
422.00,0.00378
423.00,0.00378
424.00,0.00378
425.00,0.00378
426.00,0.00378
427.00,0.00378
428.00,0.00366
429.00,0.00354
430.00,0.00354
431.00,0.00354
432.00,0.00366
433.00,0.00366
434.00,0.00366
435.00,0.00366
436.00,0.00366
437.00,0.00366
438.00,0.00354
439.00,0.00366
440.00,0.00378
441.00,0.00366
442.00,0.00354
443.00,0.00366
444.00,0.00378
445.00,0.00378
446.00,0.00366
447.00,0.00354
448.00,0.00354
449.00,0.00366
450.00,0.00378
451.00,0.00378
452.00,0.00378
453.00,0.00378
454.00,0.00378
455.00,0.00378
456.00,0.00378
457.00,0.00378
458.00,0.00391
459.00,0.00391
460.00,0.00391
461.00,0.00391
462.00,0.00391
463.00,0.00403
464.00,0.00403
465.00,0.00403
466.00,0.00415
467.00,0.00415
468.00,0.00415
469.00,0.00415
470.00,0.00415
471.00,0.00415
472.00,0.00427
473.00,0.00427
474.00,0.00439
475.00,0.00452
476.00,0.00464
477.00,0.00464
478.00,0.00476
479.00,0.00476
480.00,0.00476
481.00,0.00476
482.00,0.00476
483.00,0.00476
484.00,0.00476
485.00,0.00476
486.00,0.00464
487.00,0.00464
488.00,0.00464
489.00,0.00464
490.00,0.00464
491.00,0.00464
492.00,0.00476
493.00,0.00476
494.00,0.00476
495.00,0.00476
496.00,0.00488
497.00,0.00476
498.00,0.00488
499.00,0.00513
500.00,0.00525
501.00,0.00525
502.00,0.00537
503.00,0.00549
504.00,0.00549
505.00,0.00549
506.00,0.00562
507.00,0.00574
508.00,0.00574
509.00,0.00586
510.00,0.00598
511.00,0.00610
512.00,0.00610
513.00,0.00623
514.00,0.00647
515.00,0.00684
516.00,0.00708
517.00,0.00745
518.00,0.00769
519.00,0.00806
520.00,0.00854
521.00,0.00891
522.00,0.00940
523.00,0.01001
524.00,0.01038
525.00,0.01074
526.00,0.01099
527.00,0.01123
528.00,0.01135
529.00,0.01160
530.00,0.01172
531.00,0.01184
532.00,0.01196
533.00,0.01208
534.00,0.01233
535.00,0.01257
536.00,0.01282
537.00,0.01306
538.00,0.01331
539.00,0.01343
540.00,0.01367
541.00,0.01404
542.00,0.01416
543.00,0.01440
544.00,0.01453
545.00,0.01453
546.00,0.01465
547.00,0.01477
548.00,0.01489
549.00,0.01514
550.00,0.01538
551.00,0.01550
552.00,0.01575
553.00,0.01599
554.00,0.01611
555.00,0.01636
556.00,0.01672
557.00,0.01709
558.00,0.01746
559.00,0.01794
560.00,0.01868
561.00,0.01941
562.00,0.02026
563.00,0.02124
564.00,0.02234
565.00,0.02344
566.00,0.02466
567.00,0.02588
568.00,0.02722
569.00,0.02881
570.00,0.03040
571.00,0.03198
572.00,0.03369
573.00,0.03540
574.00,0.03735
575.00,0.03918
576.00,0.04102
577.00,0.04285
578.00,0.04480
579.00,0.04688
580.00,0.04895
581.00,0.05103
582.00,0.05298
583.00,0.05493
584.00,0.05688
585.00,0.05872
586.00,0.06055
587.00,0.06226
588.00,0.06384
589.00,0.06531
590.00,0.06665
591.00,0.06775
592.00,0.06860
593.00,0.06934
594.00,0.07007
595.00,0.07056
596.00,0.07092
597.00,0.07141
598.00,0.07190
599.00,0.07239
600.00,0.07288
601.00,0.07349
602.00,0.07422
603.00,0.07507
604.00,0.07605
605.00,0.07703
606.00,0.07837
607.00,0.07971
608.00,0.08105
609.00,0.08252
610.00,0.08423
611.00,0.08594
612.00,0.08765
613.00,0.08948
614.00,0.09131
615.00,0.09302
616.00,0.09485
617.00,0.09656
618.00,0.09827
619.00,0.09985
620.00,0.10156
621.00,0.10315
622.00,0.10437
623.00,0.10547
624.00,0.10645
625.00,0.10718
626.00,0.10767
627.00,0.10791
628.00,0.10791
629.00,0.10779
630.00,0.10754
631.00,0.10706
632.00,0.10645
633.00,0.10571
634.00,0.10510
635.00,0.10437
636.00,0.10364
637.00,0.10291
638.00,0.10229
639.00,0.10156
640.00,0.10095
641.00,0.10034
642.00,0.09961
