"134340 - C:\Documents and Settings\User\My Documents\Homogeneous-catalysis\Allen, Lucy\lka1079.014.spc"
"Wavelength nm.","Abs."
533.00,0.00146
534.00,0.00146
535.00,0.00146
536.00,0.00159
537.00,0.00171
538.00,0.00171
539.00,0.00183
540.00,0.00183
541.00,0.00183
542.00,0.00195
543.00,0.00195
544.00,0.00195
545.00,0.00195
546.00,0.00195
547.00,0.00195
548.00,0.00195
549.00,0.00208
550.00,0.00208
551.00,0.00220
552.00,0.00232
553.00,0.00232
554.00,0.00244
555.00,0.00244
556.00,0.00244
557.00,0.00256
558.00,0.00256
559.00,0.00281
560.00,0.00317
561.00,0.00342
562.00,0.00366
563.00,0.00403
564.00,0.00452
565.00,0.00488
566.00,0.00525
567.00,0.00586
568.00,0.00635
569.00,0.00696
570.00,0.00757
571.00,0.00806
572.00,0.00879
573.00,0.00952
574.00,0.01013
575.00,0.01086
576.00,0.01160
577.00,0.01233
578.00,0.01306
579.00,0.01379
580.00,0.01453
581.00,0.01526
582.00,0.01611
583.00,0.01685
584.00,0.01758
585.00,0.01831
586.00,0.01892
587.00,0.01965
588.00,0.02026
589.00,0.02087
590.00,0.02136
591.00,0.02173
592.00,0.02209
593.00,0.02234
594.00,0.02271
595.00,0.02283
596.00,0.02307
597.00,0.02319
598.00,0.02332
599.00,0.02356
600.00,0.02380
601.00,0.02405
602.00,0.02441
603.00,0.02478
604.00,0.02515
605.00,0.02551
606.00,0.02600
607.00,0.02649
608.00,0.02710
609.00,0.02759
610.00,0.02820
611.00,0.02881
612.00,0.02954
613.00,0.03015
614.00,0.03076
615.00,0.03149
616.00,0.03210
617.00,0.03271
618.00,0.03333
619.00,0.03406
620.00,0.03467
621.00,0.03528
622.00,0.03564
623.00,0.03613
624.00,0.03638
625.00,0.03650
626.00,0.03674
627.00,0.03699
628.00,0.03699
629.00,0.03687
630.00,0.03674
631.00,0.03650
632.00,0.03613
633.00,0.03577
634.00,0.03540
635.00,0.03516
636.00,0.03491
637.00,0.03467
638.00,0.03442
639.00,0.03418
640.00,0.03381
641.00,0.03357
642.00,0.03320
643.00,0.03296
644.00,0.03271
645.00,0.03235
646.00,0.03198
647.00,0.03162
648.00,0.03137
649.00,0.03101
650.00,0.03076
651.00,0.03052
652.00,0.03027
653.00,0.03003
654.00,0.03003
655.00,0.03003
656.00,0.02991
657.00,0.02991
658.00,0.02979
659.00,0.02979
660.00,0.02979
661.00,0.02954
662.00,0.02930
663.00,0.02917
664.00,0.02893
665.00,0.02832
666.00,0.02771
667.00,0.02698
668.00,0.02625
669.00,0.02539
670.00,0.02441
671.00,0.02332
672.00,0.02197
673.00,0.02051
674.00,0.01917
675.00,0.01770
676.00,0.01624
677.00,0.01489
678.00,0.01355
679.00,0.01208
680.00,0.01062
681.00,0.00916
682.00,0.00793
683.00,0.00684
684.00,0.00586
685.00,0.00476
686.00,0.00378
687.00,0.00305
688.00,0.00232
689.00,0.00159
690.00,0.00098
691.00,0.00024
692.00,-0.00037
693.00,-0.00085
694.00,-0.00134
695.00,-0.00171
696.00,-0.00208
697.00,-0.00244
698.00,-0.00281
699.00,-0.00317
700.00,-0.00354
701.00,-0.00378
702.00,-0.00415
703.00,-0.00439
704.00,-0.00452
705.00,-0.00464
706.00,-0.00476
707.00,-0.00488
708.00,-0.00513
709.00,-0.00525
710.00,-0.00525
711.00,-0.00525
712.00,-0.00537
713.00,-0.00549
714.00,-0.00549
715.00,-0.00549
716.00,-0.00549
717.00,-0.00562
718.00,-0.00574
719.00,-0.00574
720.00,-0.00586
721.00,-0.00586
722.00,-0.00586
723.00,-0.00586
724.00,-0.00586
725.00,-0.00586
726.00,-0.00586
727.00,-0.00586
728.00,-0.00586
729.00,-0.00586
730.00,-0.00574
731.00,-0.00574
732.00,-0.00574
733.00,-0.00574
734.00,-0.00562
735.00,-0.00549
736.00,-0.00549
737.00,-0.00549
738.00,-0.00537
739.00,-0.00537
740.00,-0.00537
741.00,-0.00537
742.00,-0.00537
743.00,-0.00537
744.00,-0.00525
745.00,-0.00525
746.00,-0.00525
747.00,-0.00525
748.00,-0.00525
749.00,-0.00525
750.00,-0.00525
751.00,-0.00525
752.00,-0.00525
753.00,-0.00525
754.00,-0.00525
755.00,-0.00525
756.00,-0.00513
757.00,-0.00513
758.00,-0.00513
759.00,-0.00513
760.00,-0.00513
761.00,-0.00513
762.00,-0.00500
763.00,-0.00500
764.00,-0.00500
765.00,-0.00500
766.00,-0.00500
767.00,-0.00500
768.00,-0.00500
769.00,-0.00500
770.00,-0.00500
771.00,-0.00500
772.00,-0.00500
773.00,-0.00500
774.00,-0.00500
775.00,-0.00500
776.00,-0.00500
777.00,-0.00500
778.00,-0.00500
779.00,-0.00500
780.00,-0.00500
781.00,-0.00500
782.00,-0.00488
783.00,-0.00476
784.00,-0.00476
785.00,-0.00476
786.00,-0.00476
787.00,-0.00476
788.00,-0.00476
789.00,-0.00476
790.00,-0.00476
791.00,-0.00476
792.00,-0.00464
793.00,-0.00464
794.00,-0.00464
795.00,-0.00464
796.00,-0.00464
797.00,-0.00464
798.00,-0.00464
799.00,-0.00464
800.00,-0.00464
801.00,-0.00464
802.00,-0.00464
803.00,-0.00464
804.00,-0.00464
805.00,-0.00464
806.00,-0.00464
807.00,-0.00464
808.00,-0.00464
809.00,-0.00464
810.00,-0.00464
811.00,-0.00464
812.00,-0.00464
813.00,-0.00464
814.00,-0.00464
815.00,-0.00464
816.00,-0.00464
817.00,-0.00464
