"132013 - C:\Documents and Settings\User\My Documents\Homogeneous-catalysis\Allen, Lucy\lka1079.012.spc"
"Wavelength nm.","Abs."
200.00,0.27917
201.00,0.20483
202.00,0.11621
203.00,0.11597
204.00,0.12988
205.00,0.15515
206.00,0.15466
207.00,0.15430
208.00,0.17969
209.00,0.20227
210.00,0.16199
211.00,0.07288
212.00,0.09534
213.00,0.12036
214.00,0.07092
215.00,0.10999
216.00,0.13489
217.00,0.10437
218.00,0.13733
219.00,0.10071
220.00,0.08533
221.00,0.23792
222.00,0.46375
223.00,0.64294
224.00,0.71387
225.00,0.73877
226.00,0.74683
227.00,0.73157
228.00,0.71448
229.00,0.69568
230.00,0.67444
231.00,0.65027
232.00,0.62537
233.00,0.59900
234.00,0.57104
235.00,0.54199
236.00,0.51221
237.00,0.48364
238.00,0.45654
239.00,0.43091
240.00,0.40747
241.00,0.38672
242.00,0.36829
243.00,0.35132
244.00,0.33582
245.00,0.32068
246.00,0.30542
247.00,0.29065
248.00,0.27588
249.00,0.26086
250.00,0.24585
251.00,0.23071
252.00,0.21594
253.00,0.20203
254.00,0.18945
255.00,0.17761
256.00,0.16638
257.00,0.15637
258.00,0.14758
259.00,0.14014
260.00,0.13367
261.00,0.12781
262.00,0.12256
263.00,0.11792
264.00,0.11353
265.00,0.10962
266.00,0.10596
267.00,0.10229
268.00,0.09875
269.00,0.09509
270.00,0.09106
271.00,0.08679
272.00,0.08240
273.00,0.07788
274.00,0.07324
275.00,0.06873
276.00,0.06433
277.00,0.06018
278.00,0.05591
279.00,0.05164
280.00,0.04773
281.00,0.04370
282.00,0.04016
283.00,0.03674
284.00,0.03333
285.00,0.03027
286.00,0.02734
287.00,0.02454
288.00,0.02173
289.00,0.01904
290.00,0.01672
291.00,0.01440
292.00,0.01221
293.00,0.01001
294.00,0.00793
295.00,0.00610
296.00,0.00415
297.00,0.00220
298.00,0.00720
299.00,0.02844
300.00,0.04590
301.00,0.04712
302.00,0.04517
303.00,0.04358
304.00,0.04175
305.00,0.04004
306.00,0.03870
307.00,0.03723
308.00,0.03564
309.00,0.03394
310.00,0.03247
311.00,0.03101
312.00,0.02942
313.00,0.02808
314.00,0.02698
315.00,0.02563
316.00,0.02454
317.00,0.02332
318.00,0.02234
319.00,0.02161
320.00,0.02087
321.00,0.02026
322.00,0.01965
323.00,0.01904
324.00,0.01843
325.00,0.01794
326.00,0.01746
327.00,0.01697
328.00,0.01660
329.00,0.01624
330.00,0.01587
331.00,0.01538
332.00,0.01489
333.00,0.01440
334.00,0.01416
335.00,0.01367
336.00,0.01306
337.00,0.01245
338.00,0.01196
339.00,0.01147
340.00,0.01086
341.00,0.00977
342.00,0.00867
343.00,0.00818
344.00,0.00769
345.00,0.00708
346.00,0.00659
347.00,0.00598
348.00,0.00549
349.00,0.00500
350.00,0.00464
351.00,0.00415
352.00,0.00354
353.00,0.00305
354.00,0.00256
355.00,0.00220
356.00,0.00171
357.00,0.00134
358.00,0.00110
359.00,0.00073
360.00,0.00049
361.00,0.00024
362.00,0.00000
363.00,-0.00024
364.00,-0.00049
365.00,-0.00049
366.00,-0.00049
367.00,-0.00073
368.00,-0.00085
369.00,-0.00098
370.00,-0.00110
371.00,-0.00122
372.00,-0.00134
373.00,-0.00146
374.00,-0.00146
375.00,-0.00159
376.00,-0.00171
377.00,-0.00171
378.00,-0.00183
379.00,-0.00183
380.00,-0.00195
381.00,-0.00208
382.00,-0.00220
383.00,-0.00220
384.00,-0.00232
385.00,-0.00232
386.00,-0.00232
387.00,-0.00232
388.00,-0.00244
389.00,-0.00244
390.00,-0.00244
391.00,-0.00256
392.00,-0.00256
393.00,-0.00244
394.00,-0.00244
395.00,-0.00256
396.00,-0.00256
397.00,-0.00256
398.00,-0.00256
399.00,-0.00256
400.00,-0.00256
401.00,-0.00256
402.00,-0.00256
403.00,-0.00256
404.00,-0.00256
405.00,-0.00256
406.00,-0.00256
407.00,-0.00256
408.00,-0.00256
409.00,-0.00256
410.00,-0.00269
411.00,-0.00269
412.00,-0.00256
413.00,-0.00256
414.00,-0.00256
415.00,-0.00244
416.00,-0.00244
417.00,-0.00256
418.00,-0.00256
419.00,-0.00256
420.00,-0.00256
421.00,-0.00256
422.00,-0.00256
423.00,-0.00256
424.00,-0.00256
425.00,-0.00256
426.00,-0.00256
427.00,-0.00256
428.00,-0.00256
429.00,-0.00256
430.00,-0.00256
431.00,-0.00256
432.00,-0.00256
433.00,-0.00256
434.00,-0.00256
435.00,-0.00256
436.00,-0.00256
437.00,-0.00256
438.00,-0.00256
439.00,-0.00256
440.00,-0.00256
441.00,-0.00256
442.00,-0.00256
443.00,-0.00256
444.00,-0.00256
445.00,-0.00244
446.00,-0.00244
447.00,-0.00244
448.00,-0.00244
449.00,-0.00244
450.00,-0.00244
451.00,-0.00244
452.00,-0.00244
453.00,-0.00244
454.00,-0.00244
455.00,-0.00232
456.00,-0.00232
457.00,-0.00232
458.00,-0.00232
459.00,-0.00232
460.00,-0.00220
461.00,-0.00220
462.00,-0.00220
463.00,-0.00220
464.00,-0.00220
